"filename", "language", "PHP", "JavaScript", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.css", "CSS", 0, 0, 0, -162, 0, -12, -26, -200
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.js", "JavaScript", 0, -78, 0, 0, 0, -17, -17, -112
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.php", "PHP", -83, 0, 0, 0, 0, -1, -11, -95
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\Cdashboard.html", "HTML", 0, 0, -40, 0, 0, -2, -5, -47
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\cliente.css", "CSS", 0, 0, 0, -50, 0, -6, -7, -63
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\cliente.php", "PHP", -27, 0, 0, 0, 0, -1, -5, -33
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Entrenadores\entrenadoresV.html", "HTML", 0, 0, 35, 0, 0, 5, 11, 51
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\animationsV.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1, 2
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landing.css", "CSS", 0, 0, 0, -133, 0, -9, -25, -167
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.html", "HTML", 0, 0, -20, 0, 0, 0, 4, -16
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.js", "JavaScript", 0, -39, 0, 0, 0, -8, -16, -63
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbar.css", "CSS", 0, 0, 0, 96, 0, 6, 25, 127
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbar.html", "HTML", 0, 0, 33, 0, 0, 2, 11, 46
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbarV.js", "JavaScript", 0, 22, 0, 0, 0, 4, 16, 42
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Productos\ProductosV.html", "HTML", 0, 0, 35, 0, 0, 5, 9, 49
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcion.css", "CSS", 0, 0, 0, -213, 0, -13, -46, -272
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcionV.html", "HTML", 0, 0, -98, 0, 0, -7, -12, -117
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcionV.js", "JavaScript", 0, -64, 0, 0, 0, -9, -15, -88
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\actividadesV.html", "HTML", 0, 0, -42, 0, 0, -2, -7, -51
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\carritoV.html", "HTML", 0, 0, -42, 0, 0, -2, -5, -49
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\entrenadoresV.html", "HTML", 0, 0, -42, 0, 0, -2, -5, -49
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\Login\loginM.php", "PHP", 0, 0, 0, 0, 0, 7, 2, 9
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroC.js", "JavaScript", 0, 32, 0, 0, 0, 2, 14, 48
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroM.php", "PHP", 0, 0, 0, 0, 0, 9, 4, 13
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\Sesiones\logout.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 7
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\formulario.css", "CSS", 0, 0, 0, 40, 0, -1, 12, 51
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.html", "HTML", 0, 0, 4, 0, 0, 0, 6, 10
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.js", "JavaScript", 0, 36, 0, 0, 0, 4, -7, 33
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\logout.php", "PHP", -7, 0, 0, 0, 0, 0, 0, -7
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\red.js", "JavaScript", 0, -59, 0, 0, 0, -2, -10, -71
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\registro.css", "CSS", 0, 0, 0, -174, 0, -12, -29, -215
"c:\xampp\htdocs\Raccoon_TODOECHO\composer.json", "JSON", 0, 0, 0, 0, 5, 0, 1, 6
"c:\xampp\htdocs\Raccoon_TODOECHO\composer.lock", "JSON", 0, 0, 0, 0, 78, 0, 1, 79
"c:\xampp\htdocs\Raccoon_TODOECHO\config\global.css", "CSS", 0, 0, 0, 28, 0, 5, 7, 40
"Total", "-", 1270, 955, 193, 292, 83, 198, 449, 3440
